Author,Date,Text,Retweet?,Polarity_SW,Polarity_NSW,User Location,User_Follower_Count,Longitude,Latitude
KMCaton,2019-12-12 12:41:13,"fastest, weakest, thinnest, PAISAN impeachment American presidential history. impeachmentDebate",True,0.25,0.0,USA ,4253,,
SenorPelon2,2019-12-12 12:41:13,Congress wasted 3 years. Impeachment go nowhere. Report Democrats Expect Wide Scale Defections Artic,False,-0.15000000000000002,-0.15000000000000002,Traveling ,78,,
maryanne_rose,2019-12-12 12:41:13,"Impeachment trial Trump wants drama, GOP wants",True,0.2,0.2,Bancroft On 🇨🇦,1075,,
KathleenChu5,2019-12-12 12:41:13,MoscowMitch way much power unpopular guy Kentucky.,True,0.2,0.2,"New York, USA",5307,,
graple12,2019-12-12 12:41:13,WaPo editorial board calls Impeachment,True,0.0,0.0,USA,976,,
conniewidman,2019-12-12 12:41:13,"fastest, weakest, thinnest, PAISAN impeachment American presidential history. impeachmentDebate",True,0.25,0.0,,4275,,
RebeccaWatter10,2019-12-12 12:41:13,"fastest, weakest, thinnest, PAISAN impeachment American presidential history. impeachmentDebate",True,0.25,0.0,"Salem, IN",1713,,
GetMeOutofTX,2019-12-12 12:41:13,Everyone's talking impeachment Clinton &amp; Johnson presidents ever impeached. people,True,0.25,0.0,,27,,
fancenox,2019-12-12 12:41:13,Democrat Rep. Abigail Spanberger Virginia getting grilled impeachment hoax... language warning,True,0.0,0.0,,216,,
TrinityDag,2019-12-12 12:41:13,New Polls Say Americans Oppose Impeachment. nothing wrong. first Impeach,True,0.09659090909090909,-0.03787878787878788,"Wisconsin, USA",365,,
061044denny,2019-12-12 12:41:13,FLOOD PHONE LINES sure call congressional representative express outrage sham impeachment,True,0.15,0.15,,1723,,
PhilManess3,2019-12-12 12:41:14,"Impeachment become reflexive Dems. theyve wanted along. Impeachment passion, drug,",True,0.0,0.0,"North Carolina, USA",1334,,
LoraJPerkins,2019-12-12 12:41:14,"fastest, weakest, thinnest, PAISAN impeachment American presidential history. impeachmentDebate",True,0.25,0.0,"Kentucky, USA",4701,,
cmgachengo,2019-12-12 12:41:14,nice thing driving work early stop take picture Washington Monument. critical day,True,0.2333333333333333,0.2333333333333333,"New Mexico, USA",248,,
sheri0316,2019-12-12 12:41:14,FLOOD PHONE LINES sure call congressional representative express outrage sham impeachment,True,0.15,0.15,,102,,
cveilleux,2019-12-12 12:41:14,NOTE Senate impeachment trial primarily vote whether abolish Impeachment Clause Constitut,True,0.4,0.4,,72,,
ShellyPayne4328,2019-12-12 12:41:14,lot moderate Dems recognize political loser impeachment is. They're encouraging leadersh,True,0.0,0.0,,7530,,
DorranceEduardo,2019-12-12 12:41:14,Incredible Bulls**t Democratic Rep. Abigail Spanberger Faces Constituents Wrath Impeachment Support,False,0.9,0.9,,1801,,
CalameDiana,2019-12-12 12:41:14,Senator Joe Manchin thinking traitor voting impeachment. something like sa,True,0.0,0.0,"Fredericksburg, VA via Oceanside NY",1149,,
2013MalibuKen,2019-12-12 12:41:14,"Listening NPR car way home, three Republicans, used tactics, impeachment process spe",True,0.0,0.0,"Nevada, USA",232,,
delvin09445001,2019-12-12 12:41:14,greatest danger [Alexander] Hamilton said would impeachment used politically party,True,0.5,0.5,,30,,
KeyboardMilitia,2019-12-12 12:41:14,"youre seeing work destroy party, biggest absurdity yet, attempted",False,0.19999999999999998,-0.2,,310,,
craigsturf,2019-12-12 12:41:14,Probably Saudi Arabian buying gun gun store kill Navy personnel,False,0.0,0.0,,10,,
Francine00100,2019-12-12 12:41:14,"Impeachment become reflexive Dems. theyve wanted along. Impeachment passion, drug,",True,0.0,0.0,"Tennessee, USA",8286,,
liberte1787,2019-12-12 12:41:14,Somebodies scared 24 tweets morning 740. power Impeachment upon you.,False,0.0,0.0,"Washington, DC/Bordeaux, FR",295,,
TXLadyLiberty,2019-12-12 12:41:14,"Jordan again. afternoon 445, Democrats said Republicans must submit amendments ridiculous impeachme",True,-0.3333333333333333,-0.3333333333333333,,290,,
MoeeHeary,2019-12-12 12:41:14,Ever read article Muslims declaring armed jihad people telling us thoughts?,True,0.0,0.0,,61,,
ThomasLeeDenni1,2019-12-12 12:41:14,"Rep. Lesko slams impeachment corrupt, rigged, railroad job",True,-0.5,-0.5,"Savannah, GA",702,,
Sscott30417601,2019-12-12 12:41:14,"fastest, weakest, thinnest, PAISAN impeachment American presidential history. impeachmentDebate",True,0.25,0.0,,182,,
PaulaOre,2019-12-12 12:41:14,lot moderate Dems recognize political loser impeachment is. They're encouraging leadersh,True,0.0,0.0,oregon,177,,
nativemasshole,2019-12-12 12:41:14,silenced Pennsylvania Mr President....How many Democrats House Pennsylvania gonna,True,0.5,0.5,USA,4007,,
palinpal1,2019-12-12 12:41:15,"fastest, weakest, thinnest, PAISAN impeachment American presidential history. impeachmentDebate",True,0.25,0.0,"Realville, USA",6472,,
ksondere,2019-12-12 12:41:15,Rep. Louie Gohmert Says Name Alleged Ukraine Whistleblower House Judiciary Committee Impeachment Meeting,False,-0.1,-0.1,Utah,1176,,
SilverFoxwjr,2019-12-12 12:41:15,"fastest, weakest, thinnest, PAISAN impeachment American presidential history. impeachmentDebate",True,0.25,0.0,,386,,
mochat409,2019-12-12 12:41:15,"Senate Republicans starting coalesce around idea shorter Senate impeachment trial one that, contrary Presiden",True,0.0,0.0,"Florida, USA",4,,
MikeHes52772147,2019-12-12 12:41:15,New Polls Say Americans Oppose Impeachment. nothing wrong. first Impeach,True,0.09659090909090909,-0.03787878787878788,United States,5228,,
eyesquash,2019-12-12 12:41:15,,True,0.0,0.0,Baltimore,167,,
tropicaldame,2019-12-12 12:41:15,FLOOD PHONE LINES sure call congressional representative express outrage sham impeachment,True,0.15,0.15,"St. Croix, USVI",4077,,
R2ritoo,2019-12-12 12:41:15,Ever read article Muslims declaring armed jihad people telling us thoughts?,True,0.0,0.0,"Hialeah,Fl",455,,
ShannonKetcher2,2019-12-12 12:41:15,starts... like party treated home? wonder many wi,True,0.5,0.5,United States,8092,,
finy06,2019-12-12 12:41:15,"fastest, weakest, thinnest, PAISAN impeachment American presidential history. impeachmentDebate",True,0.25,0.0,"Ohio, USA",29114,,
KingKrankor,2019-12-12 12:41:15,lot moderate Dems recognize political loser impeachment is. They're encouraging leadersh,True,0.0,0.0,"Mid-Coast, ME",2165,,
TillinghastPat,2019-12-12 12:41:15,"DemoRats scurrying around deck RMS Impeachment Titanic looking lifeboats. problem is,",True,0.5,0.0,,1934,,
Independent_45,2019-12-12 12:41:15,"Impeachment become reflexive Dems. theyve wanted along. Impeachment passion, drug,",True,0.0,0.0,,54,,
Locoengr53,2019-12-12 12:41:15,Republicans bunch crybabies. Take sob story Trump. Hes reason go impeachment. Hes,True,0.0,0.0,SW Missouri,366,,
DDLindeman,2019-12-12 12:41:15,White House strategy impeachment big bully Republican may say,False,0.0,0.0,"Johnston, IA",148,,
JKearby,2019-12-12 12:41:15,New Polls Say Americans Oppose Impeachment. nothing wrong. first Impeach,True,0.09659090909090909,-0.03787878787878788,Texas,1223,,
hallkeithky,2019-12-12 12:41:15,New Polls Say Americans Oppose Impeachment. nothing wrong. first Impeach,True,0.09659090909090909,-0.03787878787878788,,599,,
brholland,2019-12-12 12:41:15,Everyone's talking impeachment Clinton &amp; Johnson presidents ever impeached. people,True,0.25,0.0,"Newport, RI",9083,,
ru4real21300,2019-12-12 12:41:16,Oath taken impeachment trial different. 'I solemnly swear affirm things appertaining,True,0.0,0.0,,14,,
mrw_michael,2019-12-12 12:41:16,"dislike us much willing weaponize government. years ago, IRS. recent",True,0.15,0.125,,8,,
LouLouKing8,2019-12-12 12:41:16,"Impeachment become reflexive Dems. theyve wanted along. Impeachment passion, drug,",True,0.0,0.0,VA,2268,,
Patrici09344079,2019-12-12 12:41:16,WATCH Jordan destroys Dems' impeachment sham. comes Dems never accepted results,True,-0.1777777777777778,-0.2,,468,,
weforgotthelube,2019-12-12 12:41:16,TRUMP INNOCENT TRUMP REELECTED COMEY DIY COP FBI GUILTY SPYING OBAMA INDICTED,True,0.0,0.0,"California, USA",65,,
JC20204,2019-12-12 12:41:16,"again, hits nail head. way impeachment process done,",True,0.0,0.0,"Oklahoma, USA",6060,,
lorenz_louise,2019-12-12 12:41:16,public servants Trump smeared 'traitors' 'human scum' Time magazine's 2019 'Guardians Year' https,True,-0.09999999999999999,-0.09999999999999999,,509,,
AliceQou,2019-12-12 12:41:16,Kurt answers question always yelling,True,0.0,0.0,,187,,
dotsandlines,2019-12-12 12:41:16,"there's Pulitzer Prize audio reporting/podcasts. Pulitzer Twitter threads,",True,0.0,0.0,"Nashville, Tennessee",308,,
steelwabbit,2019-12-12 12:41:16,"fastest, weakest, thinnest, PAISAN impeachment American presidential history. impeachmentDebate",True,0.25,0.0,,1394,,
poor_ill,2019-12-12 12:41:16,"predict impeachment dismissed entirety, why? DEMOCRATS held secret UNFAIR hearings hunting fo",False,-0.45,-0.45,,377,,
LinWeeks,2019-12-12 12:41:16,lot moderate Dems recognize political loser impeachment is. They're encouraging leadersh,True,0.0,0.0,"Basin, Wyoming",4834,,
johnway36930513,2019-12-12 12:41:16,"Tuesday, Democrats predicted max 5 defections impeachment vote. wonder could go higher sw",True,0.25,0.25,,169,,
glenn8350,2019-12-12 12:41:16,affront truth.,False,0.0,0.0,Somervile Ma.,733,,
BLK_RSE,2019-12-12 12:41:16,"Donald, happening. committed multiple impeachable offenses, desperate",True,-0.3,-0.3,,157,,
MamaDaBear,2019-12-12 12:41:16,"Impeachment become reflexive Dems. theyve wanted along. Impeachment passion, drug,",True,0.0,0.0,AZ close to border,5064,,
DebWilliams57,2019-12-12 12:41:16,"Oh SNAP. Remember, everyone, Dems media one big incestuous family.",True,0.0,0.0,North Georgia,7152,,
Steve40475217,2019-12-12 12:41:16,Republican Invites Democrats Impeachment Hearing Trumps Second Inauguration 2021 roll htt,True,0.0,0.0,"Boise, ID",332,,
HikerNC,2019-12-12 12:41:16,"Impeachment become reflexive Dems. theyve wanted along. Impeachment passion, drug,",True,0.0,0.0,"Boone, NC",2165,,
JzAzRedpilled,2019-12-12 12:41:16,"fastest, weakest, thinnest, PAISAN impeachment American presidential history. impeachmentDebate",True,0.25,0.0,"Lake Havasu City, AZ",9692,,
jodie4045,2019-12-12 12:41:16,"Jordan again. afternoon 445, Democrats said Republicans must submit amendments ridiculous impeachme",True,-0.3333333333333333,-0.3333333333333333,,175,,
MaryRamji,2019-12-12 12:41:16,America sees impeachment dems cannot accept results 2016 ele,True,0.0,0.0,,2921,,
Almac06169397,2019-12-12 12:41:16,Utter abuse power,True,0.0,0.0,"Boston, MA",2970,,
ACP16202087,2019-12-12 12:41:16,Trump news live Impeachment updates president loses ground 2020 election polls.,False,-0.08181818181818182,-0.08181818181818182,"Sydney, New South Wales",2,,
ChrisTweeter3,2019-12-12 12:41:16,"Pelosi, Schiff &amp; Nadler REMOVED, GROSS MISUSE &amp; ABUSE OFFICES, Misuse FBI, &amp; TOTAL, W",False,0.0,0.0,,14,,
jewels2889,2019-12-12 12:41:17,"fastest, weakest, thinnest, PAISAN impeachment American presidential history. impeachmentDebate",True,0.25,0.0,"Washington, USA",12465,,
Balmoralmorning,2019-12-12 12:41:17,"McConnell move acquit Trump, merely dismiss charges, 2 GOP senators say CNNPolitics honestly see",True,0.425,0.04999999999999999,,81,,
SueHow007,2019-12-12 12:41:17,"one else life, job, church ... would able leverage power someone else purel",True,0.5,0.5,"Haines City, FL",2129,,
DjBillyJohnston,2019-12-12 12:41:17,"Impeachment become reflexive Dems. theyve wanted along. Impeachment passion, drug,",True,0.0,0.0,"South Florida, USA",2315,,
marpeekat,2019-12-12 12:41:17,"Want inside look impeachment? Watch former Chairman Mark Meadows details content, process,",True,0.0,0.0,,2333,,
KateComber1,2019-12-12 12:41:17,Philadelphia Inquirer Editorial Board endorse vote impeach president. removal office unlike,True,0.0,0.0,"Cherry Hill, NJ",31,,
jackie_clonch,2019-12-12 12:41:17,lot moderate Dems recognize political loser impeachment is. They're encouraging leadersh,True,0.0,0.0,"Ohio, USA",1486,,
struppa_anthony,2019-12-12 12:41:17,"fastest, weakest, thinnest, PAISAN impeachment American presidential history. impeachmentDebate",True,0.25,0.0,"Livonia, MI",15123,,
WesMatthews12,2019-12-12 12:41:17,"fastest, weakest, thinnest, PAISAN impeachment American presidential history. impeachmentDebate",True,0.25,0.0,"Mississippi Gulf Coast, USA",362,,
ZuluFoxtrotCha1,2019-12-12 12:41:17,Americans say Donald Trump cooperate congressional investigators House imp,False,0.5,0.0,,0,,
RickinPA6,2019-12-12 12:41:17,"Dear Media, point impeachment process we're hearing answers again. Please fee",False,0.0,0.0,Pennsylvania,13744,,
NeceHorn,2019-12-12 12:41:17,". quickest, thinnest, weakest, partisan impeachment American presidential histo",True,0.25,0.0,One of MANY 🔴counties in IL,22008,,
MsLibertyBelle_,2019-12-12 12:41:17,"fastest, weakest, thinnest, PAISAN impeachment American presidential history. impeachmentDebate",True,0.25,0.0,USA 🇺🇲 #Trump2020 ,7219,,
JanelleBCates,2019-12-12 12:41:17,. 17 24 Democrat members Judiciary Committee voted favor impeachment even befor,True,0.2,0.0,,1948,,
billyodee,2019-12-12 12:41:17,one avenue remains democrat party survive fake impeachment process. Fake impeachment,False,-0.3333333333333333,-0.5,,19,,
SAMTA85589888,2019-12-12 12:41:17,"fastest, weakest, thinnest, PAISAN impeachment American presidential history. impeachmentDebate",True,0.25,0.0,"Çukurova, Adana",4249,,
wwjdeux,2019-12-12 12:41:17,FLOOD PHONE LINES sure call congressional representative express outrage sham impeachment,True,0.15,0.15,,4236,,
Michael17286194,2019-12-12 12:41:17,New Polls Say Americans Oppose Impeachment. nothing wrong. first Impeach,True,0.09659090909090909,-0.03787878787878788,,9,,
TexasDamnit,2019-12-12 12:41:18,Adam Schiff training impeachment sham.,True,-0.2,-0.2,"Texas, USA",7227,,
JOROCKJO,2019-12-12 12:41:18,Pelosi putting every Democrat politician spot supporting impeachment. right go,True,0.26785714285714285,0.26785714285714285,Texas U S A,702,,
GMoschuk,2019-12-12 12:41:18,"dumb motherfucker got elected Congress. youre thinking running office doubt whether can,",True,-0.375,-0.375,,17,,
BigBertieT,2019-12-12 12:41:18,lot moderate Dems recognize political loser impeachment is. They're encouraging leadersh,True,0.0,0.0,,358,,
kayceeinva,2019-12-12 12:41:18,"fastest, weakest, thinnest, PAISAN impeachment American presidential history. impeachmentDebate",True,0.25,0.0,Virginia,3183,,
donaldmcknight,2019-12-12 12:41:18,"That's lot racist, antiSemitism paid taxpayer dollars. Americans, *representing*",True,0.0,0.0,Arkansas,132,,
chrismorganMaga,2019-12-12 12:41:18,"fastest, weakest, thinnest, PAISAN impeachment American presidential history. impeachmentDebate",True,0.25,0.0,"Virginia, USA",4334,,
BobbyJoe1956,2019-12-12 12:41:18,"nother angle, think part SPYING TRUMP campaign. Aside giving Hillary campaign insider info w",True,0.0,0.0,"Independence, MO",3245,,
0Lightningrocks,2019-12-12 12:41:18,"Trumps impeachment? happen? Wow, really one deusional m0fo needs help Im scared",True,0.15000000000000002,0.15000000000000002,"Texas, USA",1080,,
TraciIrving1,2019-12-12 12:41:18,"Vote, show rest American traitor delusional. go history many fo",True,0.11481481481481481,0.25,"Michigan, USA",8821,,
karrecher,2019-12-12 12:41:19,BREAKING Senate Majority Leader Mitch McConnell planning hold vote acquit President Trump rather vote,True,0.0,0.0,"Cabo Rojo, Puerto Rico",779,,
PLandicina,2019-12-12 12:41:19,Trump facing critical stage trio lawsuits Senate prepares impeachment trial,True,0.0,0.0,,145,,
MarkOrdBrown,2019-12-12 12:41:19,New Polls Say Americans Oppose Impeachment. nothing wrong. first Impeach,True,0.09659090909090909,-0.03787878787878788,"Clemmons, NC",214,,
dustin_curtis,2019-12-12 12:41:19,"fastest, weakest, thinnest, PAISAN impeachment American presidential history. impeachmentDebate",True,0.25,0.0,"San Antonio, TX",18218,,
leekeywest,2019-12-12 12:41:19,"dumb motherfucker got elected Congress. youre thinking running office doubt whether can,",True,-0.375,-0.375,Nantucket ,342,,
TeckieGirl,2019-12-12 12:41:19,"Moscow Mitch bribed boatloads campaign cash , course agreed acquit. Half",True,-0.16666666666666666,-0.16666666666666666,Dallas TX,4637,,
dechendrolmala,2019-12-12 12:41:19,skibenes Republicans hijack impeachment soon reaches senate everything power make pr,True,0.0,0.0,"Poolesville, MD",470,,
RhudyChris,2019-12-12 12:41:19,"Democrat Alabama watching Brett Kavanaugh hearings, disgusting thing I've seen. Now,",True,-0.25,-1.0,,79,,
LoseyLaurice,2019-12-12 12:41:19,anything remaining Left weaponize? Already weaponized following IRS Media Intelligence FBI DOJ Sta,True,0.0,0.0,The wilderness of the lost. ,5258,,
TFieldsLewis,2019-12-12 12:41:20,Impeachment raises questions secret stash Trump records asking Putin US policy w North Kor,False,-0.4,-0.4,Peace is its own reward-Gandhi,130,,
TterThe,2019-12-12 12:41:20,started talking impeachment President Trumps inauguration. Democrats cas,False,0.0,0.0,The Void,892,,
magyckone,2019-12-12 12:41:20,"Impeachment become reflexive Dems. theyve wanted along. Impeachment passion, drug,",True,0.0,0.0,America ,62,,
Michell76657729,2019-12-12 12:41:20,"Rep. Lesko slams impeachment corrupt, rigged, railroad job",True,-0.5,-0.5,"Pennsylvania, USA",4303,,
SantinoCorlion2,2019-12-12 12:41:20,". rather shocking Democrats built impeachment articles mere hearsay, speculation,",True,-0.75,-0.75,,2798,,
Stephieinca,2019-12-12 12:41:20,"fastest, weakest, thinnest, PAISAN impeachment American presidential history. impeachmentDebate",True,0.25,0.0,,897,,
novelnivloc,2019-12-12 12:41:20,Thaaaaats term racist ceased mean anything. Another obvious unintended consequen,False,-0.15625,-0.15625,,110,,
loriannk88,2019-12-12 12:41:20,Really??? know attack anyone better yourself. attack 16 yr old girl? Al,False,0.26666666666666666,0.26666666666666666,"Hollidaysburg,Pa (for now! 😛)",1511,,
Imeraldgurl,2019-12-12 12:41:20,public servants Trump smeared 'traitors' 'human scum' Time magazine's 2019 'Guardians Year' https,True,-0.09999999999999999,-0.09999999999999999,"Los Angeles, Ca",606,,
GehrigSaldana,2019-12-12 12:41:20,"fastest, weakest, thinnest, PAISAN impeachment American presidential history. impeachmentDebate",True,0.25,0.0,"Waxahachie, TX",3077,,
AnnaLutz15,2019-12-12 12:41:20,WATCH Jordan destroys Dems' impeachment sham. comes Dems never accepted results,True,-0.1777777777777778,-0.2,,87,,
VickieBoxby45,2019-12-12 12:41:20,WATCH Jordan destroys Dems' impeachment sham. comes Dems never accepted results,True,-0.1777777777777778,-0.2,,102,,
WRAUER,2019-12-12 12:41:20,"fastest, weakest, thinnest, PAISAN impeachment American presidential history. impeachmentDebate",True,0.25,0.0,SOUTH FLORIDA,364,,
laima_zick,2019-12-12 12:41:20,Kimberley Strassel Democrats drop 'quid pro quo' impeachment case protect Joe Biden FoxNews,True,0.0,0.0,,1145,,
bordz_m,2019-12-12 12:41:20,silly implore Democrats drop impeachment attend nations business. dont care nation,True,-0.5,-0.5,"Ohio, USA",1175,,
Mark4124NH,2019-12-12 12:41:20,We'll See Field Judiciary Committee Impeachment Vote Expected Thursday,True,-0.1,-0.1,Dallas TX,2639,,
billyboblouise,2019-12-12 12:41:20,dam right people want Impeachment. perfect phone call.,True,0.6428571428571428,0.6428571428571428,,2702,,
JustMeMbMa,2019-12-12 12:41:20,"Translation crimes, Im surprised one call lot staff listened in. mea",True,0.1,0.1,Boston,253,,
VOTEMAGA2020,2019-12-12 12:41:20,"nothing, clothe historical references",False,0.0,0.0,,3623,,
QuakerValleyGOP,2019-12-12 12:41:20,Pelosi lied country promising get things done. Americans wanted Democrats *lower prescription drug c,True,0.2,0.2,"Sewickley, PA 15143",210,,
UnifyforPeace,2019-12-12 12:41:21,"fastest, weakest, thinnest, PAISAN impeachment American presidential history. impeachmentDebate",True,0.25,0.0,,491,,
yylow02,2019-12-12 12:41:21,Currently Fox IG hearing MSNBC IG hearing CNN Anonymous sources claim POTUS privately agitated impeachmen,True,0.0,0.0,,247,,
Earth88POTUS,2019-12-12 12:41:21,vast insidious conspiracy play here...,False,0.0,0.0,"Washington, DC",2,,
simontrbojevic,2019-12-12 12:41:21,spoil ending?,True,0.0,0.0,"Sundbyberg, Sverige",1440,,
truthannouncer,2019-12-12 12:41:21,successful RNCsupportive marches &amp; rallies countering DNC &amp; proimpeachment groups publi,False,0.20833333333333334,0.75,"Georgia, USA",2,,
bill77710,2019-12-12 12:41:21,New Polls Say Americans Oppose Impeachment. nothing wrong. first Impeach,True,0.09659090909090909,-0.03787878787878788,Pallet Town USA,492,,
tempkt,2019-12-12 12:41:21,impeachment inquiry ex post facto law. Quid pro quo tough them. Latin problem p,True,-0.3888888888888889,-0.3888888888888889,Ohio,2044,,
merricklestat,2019-12-12 12:41:21,congressman Portman determined Bill Clinton violated oath office impeached. typical GOP sycoph,True,-0.16666666666666666,-0.16666666666666666,,180,,
Etherkat,2019-12-12 12:41:21,"Impeachment become reflexive Dems. theyve wanted along. Impeachment passion, drug,",True,0.0,0.0,Behind every blade of grass! ,3963,,
WeMeNThee,2019-12-12 12:41:21,expect today impeachment inquiry,True,0.0,0.0,,129,,
hinkel_dave,2019-12-12 12:41:21,"Jordan again. afternoon 445, Democrats said Republicans must submit amendments ridiculous impeachme",True,-0.3333333333333333,-0.3333333333333333,"Crown Point, IN",21,,
jeffswarens,2019-12-12 12:41:21,watts4 New Polls Say Americans Opp,False,0.3181818181818182,0.13636363636363635,"Tampa, FL",15910,,
BobWipfler,2019-12-12 12:41:21,hearsay. first best witness case. admitted wro,True,0.625,0.625,,49,,
RahmAntics,2019-12-12 12:41:22,Trump used tax dollars shake vulnerable foreign government interfere U.S. election person,True,-0.2601851851851852,-0.3125,"121 N La Salle St, Suite 500",2059,,
j7ben_arthur,2019-12-12 12:41:22,look forward end impeachment FARCE get Afghan Report Foundin,False,-0.4,-0.4,Newmarket NH,8,,
